epoch,train_loss,val_loss
1,1307.029541015625,787.2899169921875
2,1269.429443359375,765.4210815429688
3,1233.0338134765625,737.6395263671875
4,1197.25830078125,705.8253173828125
5,1161.8358154296875,670.7013549804688
6,1126.6923828125,633.0245971679688
7,1091.557861328125,593.0550537109375
8,1056.3857421875,551.11328125
9,1021.1885375976562,507.6373596191406
10,985.9974365234375,463.3445129394531
11,950.8685913085938,419.073974609375
12,915.9691162109375,375.9266052246094
13,881.4346923828125,334.988037109375
14,847.5081176757812,296.94854736328125
15,814.476318359375,262.2503662109375
16,782.673828125,231.04331970214844
17,752.4915771484375,203.43655395507812
18,724.392822265625,179.3352813720703
19,698.892578125,158.583251953125
20,676.5669555664062,140.99984741210938
21,658.0899658203125,126.37084197998047
22,644.2113037109375,114.46342468261719
23,635.7710571289062,105.0982666015625
24,633.6851806640625,99.66416931152344
25,636.956787109375,96.568603515625
26,642.5083618164062,94.92696380615234
27,648.1063232421875,94.2154312133789
28,652.3493041992188,94.13638305664062
29,654.54345703125,94.53825378417969
30,654.5445556640625,95.3668212890625
31,652.5994873046875,96.63414001464844
32,649.2031860351562,98.39579010009766
33,644.9803466796875,100.73234558105469
34,640.5985107421875,103.73764038085938
35,636.6998291015625,107.52035522460938
36,633.85693359375,112.20408630371094
37,632.5454711914062,117.79191589355469
38,633.0668334960938,122.3346939086914
39,634.5628662109375,125.58914184570312
40,635.9830322265625,127.46465301513672
41,636.813720703125,127.99073028564453
42,636.8810424804688,127.28367614746094
43,636.231201171875,125.52035522460938
44,635.05859375,122.9109115600586
45,633.663330078125,119.67999267578125
46,632.4267578125,116.0611572265625
47,631.7954711914062,112.58187866210938
48,632.150634765625,110.4919662475586
49,633.0104370117188,109.45560455322266
50,633.6881713867188,109.26570892333984
51,633.8511962890625,109.81112670898438
52,633.4542236328125,111.05245971679688
53,632.6641235351562,113.00381469726562
54,631.7858276367188,115.71401977539062
55,631.198486328125,119.25071716308594
56,631.2921752929688,121.7247085571289
57,631.7730712890625,123.04179382324219
58,632.1025390625,123.21952819824219
59,632.0721435546875,122.35667419433594
60,631.6988525390625,120.60844421386719
61,631.1593017578125,118.16716003417969
62,630.7465209960938,115.28075408935547
63,630.8286743164062,113.67906188964844
64,631.185791015625,113.0992431640625
65,631.3677978515625,113.39543151855469
66,631.2276611328125,114.50768280029297
67,630.8509521484375,116.43586730957031
68,630.4853515625,119.22183227539062
69,630.470703125,120.904052734375
70,630.6790161132812,121.4464111328125
71,630.7471923828125,120.91315460205078
72,630.5918579101562,119.43385314941406
73,630.3282470703125,117.19917297363281
74,630.2161865234375,116.22976684570312
75,630.260498046875,116.31452178955078
76,630.2215576171875,117.35577392578125
77,630.1096801757812,119.32653045654297
78,630.1146240234375,120.15034484863281
79,630.16162109375,119.86378479003906
80,630.091552734375,118.58416748046875
81,629.9752197265625,116.56472778320312
82,630.0390625,115.78166961669922
83,630.1422119140625,116.05329132080078
84,630.0830078125,117.29544067382812
85,629.91845703125,119.49609375
86,629.88671875,120.50357055664062
87,629.9541015625,120.35100555419922
88,629.9151611328125,119.16166687011719
89,629.8160400390625,117.14977264404297
90,629.8792724609375,116.40483093261719
91,629.9796142578125,116.73677062988281
92,629.92431640625,118.05716705322266
93,629.7830810546875,120.35543823242188
94,629.8043823242188,121.4219970703125
95,629.9049072265625,121.29914855957031
96,629.870361328125,120.11483001708984
97,629.7457275390625,118.0566177368164
98,629.759033203125,117.27854919433594
99,629.8438720703125,117.5897216796875
100,629.8016357421875,118.89846801757812
101,629.697021484375,121.18277740478516
102,629.7738647460938,122.2144775390625
103,629.8978881835938,122.04593658447266
