epoch,train_loss,val_loss
1,519.1504080703095,293.4675738380069
2,239.2696279176304,179.76999693371002
3,170.57229878202065,164.6414198739188
4,142.84833369650397,135.982983761742
5,129.48816336921684,142.26443528674898
6,119.10671122462136,135.65739279247467
7,114.3329485109421,121.25782826741536
8,108.40192947465785,126.83255099341983
9,105.21337534924979,121.82942806425548
10,102.98391737689015,114.37174406505767
11,104.86932382808126,113.32727239699591
12,98.6839828764526,112.29515987577892
13,99.24251668846107,119.81862077258882
14,96.34436164785676,110.34423230489095
15,97.2115324053574,121.6940809340704
16,95.92587960047024,113.39524926685152
17,94.93450790686397,107.90112976800827
18,91.28250767093841,108.9639609382266
19,94.37266433934472,108.54196479434059
20,92.02572367110784,118.02636478969029
