epoch,train_loss,val_loss
1,244.54644775390625,377917312.0
2,237.9534912109375,329823872.0
3,213.06268310546875,333164128.0
4,201.46641540527344,328171840.0
5,184.9541015625,345674592.0
6,164.98562622070312,344465472.0
7,129.6870880126953,368914432.0
8,103.56212615966797,393652672.0
9,102.20884704589844,384042912.0
10,121.14945983886719,381354464.0
11,77.5954818725586,416694208.0
12,147.33721923828125,371867616.0
13,62.21237564086914,375650944.0
14,97.35453796386719,374676992.0
15,91.6715316772461,364680160.0
16,71.76242065429688,357497408.0
17,90.33867645263672,357401312.0
18,66.54293823242188,359997440.0
19,49.07110595703125,362652224.0
20,49.80083465576172,363525952.0
21,45.015403747558594,367936896.0
22,43.213905334472656,377323904.0
23,47.610260009765625,378744768.0
24,41.212703704833984,376779808.0
25,39.48944854736328,377733440.0
26,38.89208984375,380681024.0
27,35.3720703125,384780416.0
28,35.84390640258789,384525440.0
29,35.29862976074219,380821984.0
30,31.414669036865234,378951936.0
31,30.098485946655273,379863744.0
32,27.316608428955078,383033792.0
33,24.17047119140625,388470400.0
34,23.545236587524414,393711104.0
35,21.357906341552734,401582528.0
36,20.46210479736328,407160576.0
37,20.18088150024414,402537792.0
38,17.30245590209961,393985344.0
39,17.265104293823242,391481344.0
40,14.575296401977539,393945088.0
41,13.84957504272461,394160384.0
42,12.016568183898926,391737728.0
43,10.240494728088379,390162944.0
44,8.789064407348633,390734144.0
45,6.341760635375977,389768896.0
46,5.563278675079346,384569280.0
47,3.9564735889434814,380948000.0
48,3.429532051086426,385068416.0
49,2.7984299659729004,386661792.0
50,2.945140838623047,380347040.0
51,2.3267669677734375,380953408.0
52,1.7435790300369263,385998720.0
53,1.6427415609359741,386592768.0
54,1.2655401229858398,386012800.0
55,1.311072587966919,391425728.0
56,1.015371561050415,395205248.0
57,0.9780311584472656,390681824.0
58,0.9699991941452026,393190272.0
59,0.7408574819564819,396295936.0
60,0.9023081064224243,392707104.0
61,0.7008864879608154,394305184.0
62,0.4699494242668152,398145632.0
63,0.5611695051193237,394911872.0
64,0.40038466453552246,393243392.0
65,0.4607943594455719,395510112.0
66,0.3396713137626648,395686656.0
67,0.3068181872367859,393093984.0
68,0.2878681421279907,392912384.0
69,0.2156955599784851,394240512.0
70,0.24702127277851105,392944288.0
71,0.17428867518901825,391575040.0
72,0.23414041101932526,392652032.0
73,0.1242174357175827,393661952.0
74,0.15485870838165283,392215616.0
75,0.0909331887960434,391571232.0
76,0.1265757977962494,393076000.0
77,0.07733744382858276,394243456.0
78,0.09654177725315094,393644864.0
79,0.07246293127536774,393674368.0
80,0.08035152405500412,394634944.0
81,0.0747353583574295,394532544.0
82,0.06441792845726013,393937216.0
83,0.06544851511716843,394419648.0
84,0.03561697527766228,395151040.0
85,0.035554900765419006,394530624.0
86,0.019028035923838615,393958176.0
87,0.03562937304377556,394488576.0
88,0.02245519682765007,394772096.0
89,0.02647721767425537,394115808.0
90,0.018389102071523666,393834816.0
91,0.02298574149608612,394158016.0
92,0.021643850952386856,394098656.0
93,0.018007395789027214,393744256.0
94,0.01595202460885048,393938816.0
95,0.009956512600183487,394308224.0
96,0.012376446276903152,394081408.0
97,0.007629469968378544,393859104.0
98,0.012241620570421219,394250464.0
99,0.008373439311981201,394555328.0
100,0.01059786044061184,394310720.0
101,0.0073309121653437614,394240384.0
102,0.008274701423943043,394481472.0
103,0.007679429836571217,394393088.0
104,0.005997131112962961,394059264.0
